,Spoint,date
0,455259,1489352400
1,476693,1489356000
2,489274,1489363200
3,509449,1489370400
4,541929,1489381200
5,552179,1489384800
6,570449,1489395600
7,576740,1489399200
8,581241,1489410000
9,588117,1489413600
10,608926,1489424400
11,638288,1489435200
12,649507,1489442400
13,669795,1489446000
14,680165,1489453200
15,698568,1489460400
16,723565,1489467600
17,749250,1489482000
18,755580,1489489200
19,760604,1489496400
20,108270,1489500000
21,120573,1489507200
22,171821,1489514400
23,209862,1489521600
24,231260,1489528800
25,266426,1489532400
26,284098,1489536000
27,312588,1489543200
28,354061,1489557600
29,366499,1489561200
30,386955,1489568400
31,393588,1489575600
32,405938,1489586400
33,413218,1489593600
34,443573,1489600800
35,466925,1489608000
36,479465,1489615200
37,502056,1489618800
38,513347,1489622400
39,531218,1489629600
40,541119,1489636800
41,566938,1489644000
42,581083,1489654800
43,585722,1489665600
44,588944,1489669200
45,594171,1489672800
46,599444,1489676400
47,623015,1489687200
48,640584,1489694400
49,650232,1489698000
50,667467,1489705200
51,676341,1489712400
52,690983,1489716000
53,713674,1489730400
54,733782,1489741200
55,738736,1489748400
56,741619,1489755600
57,746320,1489759200
58,771116,1489773600
59,785619,1489780800
60,808803,1489791600
61,828693,1489802400
62,846520,1489816800
63,865030,1489831200
64,872783,1489838400
65,881755,1489849200
66,898434,1489863600
67,918834,1489870800
68,939221,1489881600
69,958401,1489892400
70,969543,1489903200
71,990923,1489917600
72,999276,1489928400
73,1008697,1489939200
74,1035913,1489953600
75,1043762,1489960800
76,1076586,1489971600
77,1084454,1489982400
78,1116932,1490000400
79,1121659,1490007600
80,1131932,1490018400
81,1146986,1490029200
82,1167782,1490043600
83,1188862,1490050800
84,1208396,1490061600
85,1227894,1490072400
86,1246278,1490090400
87,1254408,1490097600
88,1263658,1490108400
89,1278884,1490119200
90,1296153,1490133600
91,1313285,1490140800
92,1327710,1490151600
93,1336787,1490162400
94,1350840,1490176800
95,1356838,1490184000
96,1364125,1490194800
97,1372211,1490205600
98,1393078,1490220000
99,1408699,1490227200
100,1423034,1490238000
101,1436359,1490248800
102,1448645,1490263200
103,1457611,1490281200
104,1469402,1490292000
105,1483082,1490306400
106,1491144,1490313600
107,1506728,1490324400
108,1517130,1490335200
109,1523950,1490349600
110,1526181,1490356800
111,1532571,1490367600
112,1555776,1490392800
113,1578286,1490410800
114,1594166,1490436000
115,1600625,1490454000
116,1621464,1490475600
117,1636283,1490497200
118,1657179,1490522400
119,1663204,1490540400
120,1682033,1490565600
121,1705669,1490583600
122,1723909,1490608800
123,1731403,1490626800
124,1756924,1490652000
125,1780466,1490670000
126,1801496,1490698800
127,1809313,1490716800
128,171509,1490742000
129,191349,1490745600
130,224069,1490752800
131,274197,1490763600
132,289130,1490770800
133,314272,1490778000
134,322684,1490785200
135,339568,1490792400
136,349983,1490799600
137,373349,1490806800
138,388570,1490810400
139,415770,1490817600
140,142961,1490828400
141,160796,1490835600
142,190446,1490839200
143,235124,1490846400
144,246337,1490853600
145,265060,1490864400
146,272317,1490875200
147,279276,1490882400
148,285723,1490889600
149,306049,1490893200
150,318219,1490900400
151,342601,1490904000
152,354322,1490911200
153,404620,1490925600
154,413452,1490929200
155,430984,1490936400
156,437951,1490940000
157,450381,1490950800
158,453804,1490961600
159,455731,1490965200
160,461484,1490972400
161,466958,1490976000
162,483147,1490979600
163,104203,1490983200
164,137279,1490990400
165,157436,1490994000
166,191786,1491004800
167,207587,1491008400
168,233010,1491012000
169,246067,1491019200
170,266823,1491022800
171,288180,1491030000
172,86138,1491037200
173,95791,1491051600
174,104680,1491055200
175,114449,1491062400
176,138546,1491066000
177,154316,1491069600
178,183408,1491076800
179,197697,1491080400
180,223786,1491087600
181,235850,1491094800
182,257044,1491098400
183,266739,1491105600
184,286132,1491109200
185,292797,1491112800
186,303889,1491123600
187,304871,1491130800
188,303910,1491138000
189,306029,1491141600
190,308128,1491145200
191,319443,1491152400
192,325300,1491156000
193,342543,1491163200
194,350376,1491170400
195,368298,1491174000
196,376484,1491181200
197,394553,1491184800
198,402726,1491192000
199,421739,1491195600
200,427977,1491199200
201,438311,1491210000
202,440468,1491217200
203,440822,1491224400
204,444374,1491228000
205,448378,1491231600
206,463452,1491238800
207,473288,1491246000
208,494340,1491249600
209,505510,1491253200
210,526454,1491260400
211,571501,1491274800
212,580999,1491282000
213,594218,1491285600
214,598987,1491296400
215,603684,1491300000
216,609325,1491310800
217,612629,1491318000
218,648335,1491328800
219,657400,1491339600
220,698997,1491354000
221,706091,1491361200
222,738244,1491372000
223,745488,1491386400
224,749299,1491397200
225,759712,1491404400
226,780251,1491415200
227,787408,1491426000
228,820443,1491440400
229,837570,1491447600
230,851084,1491458400
231,855972,1491472800
232,857859,1491483600
233,858981,1491490800
234,882598,1491501600
235,888828,1491512400
236,918256,1491523200
237,933962,1491534000
238,946321,1491544800
239,952117,1491559200
240,955422,1491570000
241,962995,1491577200
242,976903,1491588000
243,981286,1491598800
244,1002996,1491613200
245,1005840,1491620400
246,1018583,1491631200
247,1019817,1491645600
248,1018695,1491656400
249,1018384,1491663600
250,1030636,1491674400
251,1033517,1491685200
252,1052196,1491699600
253,1055481,1491706800
254,1070029,1491717600
255,1071783,1491732000
256,1070279,1491742800
257,1071347,1491750000
258,1076930,1491760800
259,1084261,1491771600
260,1092280,1491786000
261,1100524,1491793200
262,1107829,1491804000
263,1109452,1491818400
264,1109807,1491829200
265,1110196,1491836400
266,1125298,1491847200
267,1128614,1491858000
268,1145015,1491872400
269,1146747,1491879600
270,1157993,1491890400
271,1157819,1491904800
272,1155617,1491915600
273,1167685,1491933600
274,1189577,1491955200
275,1204860,1491976800
276,1202876,1492002000
277,1213064,1492020000
278,1230587,1492045200
279,1246171,1492063200
280,1247938,1492088400
281,1258172,1492106400
282,1273669,1492128000
283,1285128,1492149600
284,1286961,1492171200
285,1300608,1492192800
286,1317122,1492218000
287,1327031,1492236000
288,1327642,1492261200
289,1336169,1492279200
290,1351554,1492300800
291,1360874,1492322400
292,1366442,1492347600
293,1373339,1492365600
294,1386339,1492387200
295,1401377,1492408800
296,1406307,1492434000
297,1419402,1492452000
298,1438717,1492473600
299,1450101,1492495200
300,1457921,1492524000
301,1473545,1492542000
302,1495130,1492567200
303,1511731,1492585200
304,1516739,1492610400
305,1533888,1492632000
306,1554328,1492657200
307,1573495,1492678800
308,1581892,1492700400
309,1602665,1492722000
310,1621011,1492743600
311,1631878,1492768800
312,1639983,1492786800
313,1654245,1492808400
314,1680084,1492830000
315,1691707,1492855200
316,1699219,1492873200
317,1716552,1492894800
318,1733954,1492920000
319,1745704,1492941600
320,1757729,1492966800
321,1773354,1492984800
322,1794223,1493010000
323,1808273,1493028000
324,1818188,1493053200
325,1841114,1493071200
326,1866008,1493096400
327,1876256,1493114400
328,1891399,1493139600
329,1910269,1493157600
330,1936222,1493182800
331,1947421,1493200800
332,1963596,1493226000
333,1974943,1493244000
334,2004319,1493269200
335,2021499,1493290800
336,2035343,1493316000
337,2057448,1493334000
338,2077381,1493359200
339,2093321,1493380800
340,2111269,1493402400
341,2131786,1493424000
342,2148852,1493449200
343,2160049,1493467200
344,2175778,1493488800
345,2194840,1493510400
346,2212555,1493532000
347,2223843,1493553600
348,2239104,1493575200
349,2253173,1493596800
350,2279838,1493618400
351,2308858,1493661600
352,2351580,1493708400
353,2381810,1493748000
354,2422982,1493794800
355,2453015,1493834400
356,2494261,1493881200
357,2524114,1493920800
358,2563701,1493964000
359,2592994,1494007200
360,2629659,1494054000
361,2655811,1494097200
362,2690543,1494140400
363,2716249,1494183600
364,2753794,1494226800
365,2783319,1494270000
366,2822327,1494313200
367,2850782,1494356400
368,2888006,1494396000
369,2915889,1494439200
370,2929541,1494482400
371,2976529,1494529200
372,3012215,1494572400
373,3032738,1494612000
374,3069986,1494658800
375,3093449,1494702000
376,3124294,1494745200
377,3145665,1494788400
378,3178688,1494831600
379,3198686,1494874800
380,3232248,1494918000
381,3255573,1494961200
382,3287556,1495004400
383,3312369,1495047600
384,3342942,1495098000
385,3368406,1495141200
386,3396237,1495188000
387,3416439,1495231200
388,3442846,1495274400
389,3460022,1495317600
390,3484511,1495360800
391,3501499,1495404000
392,3526589,1495450800
393,3547030,1495490400
394,3569545,1495537200
395,3592669,1495576800
396,3612677,1495623600
397,3631821,1495663200
398,3650504,1495710000
399,3667433,1495749600
400,3689873,1495796400
401,3705018,1495836000
402,3720100,1495882800
403,3732659,1495922400
404,3745893,1495969200
405,3757837,1496008800
406,3771312,1496055600
407,3783258,1496095200
408,3794444,1496142000
409,3806149,1496181600
410,3819778,1496228400
411,3836763,1496268000
412,3848945,1496314800
413,3858876,1496354400
414,3869560,1496401200
415,3880496,1496448000
416,3888346,1496494800
417,3896933,1496538000
418,3904548,1496581200
419,3912123,1496624400
420,3920668,1496667600
421,3931694,1496710800
422,3940646,1496754000
423,3950974,1496797200
424,3957549,1496840400
425,3966844,1496883600
426,3972565,1496926800
427,3980897,1496970000
428,3985600,1497016800
429,3994664,1497060000
430,3996026,1497106800
431,4003165,1497150000
432,4004079,1497196800
433,4010852,1497240000
434,4013122,1497283200
435,4022537,1497326400
436,4024982,1497369600
437,4032587,1497412800
438,4035348,1497459600
439,4042856,1497502800
440,4045446,1497546000
441,4053068,1497589200
442,4054447,1497636000
443,4061417,1497679200
444,4061915,1497726000
445,4064885,1497765600
446,4065802,1497816000
447,4069954,1497862800
448,4072116,1497906000
449,4076557,1497952800
450,4079295,1497996000
451,4083442,1498039200
452,4086287,1498086000
453,4092278,1498129200
454,4096716,1498176000
455,4097781,1498222800
456,4096928,1498262400
457,4102016,1498309200
458,4103857,1498352400
459,4103055,1498399200
460,4105810,1498442400
461,4105244,1498489200
462,4111231,1498532400
463,4110137,1498579200
464,4116319,1498622400
465,4115702,1498669200
466,4122126,1498712400
467,4120798,1498755600
468,4126823,1498798800
