,Spoint,date
0,8976,1497283200
1,11211,1497290400
2,10659,1497294000
3,9037,1497301200
4,10059,1497304800
5,11980,1497312000
6,12826,1497319200
7,8939,1497326400
8,9461,1497333600
9,8973,1497337200
10,9480,1497344400
11,8613,1497348000
12,7218,1497355200
13,7439,1497358800
14,9003,1497369600
15,8884,1497376800
16,9831,1497380400
17,8529,1497387600
18,9413,1497394800
19,9920,1497398400
20,8609,1497402000
21,9222,1497405600
22,9042,1497412800
23,7562,1497420000
24,7980,1497423600
25,7735,1497434400
26,7219,1497438000
27,7385,1497441600
28,7570,1497445200
29,7507,1497452400
30,5989,1497459600
31,6844,1497463200
32,7612,1497466800
33,8551,1497474000
34,9373,1497477600
35,8281,1497484800
36,8095,1497488400
37,9443,1497495600
38,10149,1497502800
39,9469,1497506400
40,9027,1497510000
41,9458,1497517200
42,9517,1497524400
43,9629,1497528000
44,8670,1497531600
45,8417,1497535200
46,8178,1497546000
47,6027,1497549600
48,6189,1497553200
49,7604,1497560400
50,8385,1497564000
51,7394,1497571200
52,9258,1497578400
53,9022,1497589200
54,9287,1497592800
55,7314,1497596400
56,6656,1497607200
57,6874,1497610800
58,7068,1497618000
59,6261,1497625200
60,6879,1497636000
61,8973,1497643200
62,7563,1497657600
63,6475,1497664800
64,6408,1497672000
65,6156,1497679200
66,6494,1497682800
67,5933,1497693600
68,5597,1497700800
69,5208,1497704400
70,4018,1497708000
71,4064,1497715200
72,4383,1497726000
73,4531,1497733200
74,4639,1497736800
75,5498,1497744000
76,4611,1497747600
77,5412,1497754800
78,5847,1497762000
79,6330,1497769200
80,6242,1497780000
81,5688,1497787200
82,5811,1497790800
83,5600,1497798000
84,5394,1497801600
85,6493,1497808800
86,7141,1497816000
87,6059,1497819600
88,5463,1497823200
89,4579,1497830400
90,4346,1497834000
91,4972,1497841200
92,5570,1497844800
93,4588,1497852000
94,4856,1497862800
95,4974,1497866400
96,4354,1497873600
97,4496,1497877200
98,5038,1497884400
99,5045,1497888000
100,6501,1497891600
101,5604,1497906000
102,5326,1497909600
103,6081,1497913200
104,6183,1497927600
105,6847,1497931200
106,8071,1497938400
107,7653,1497942000
108,6704,1497952800
109,6844,1497960000
110,6941,1497967200
111,6825,1497974400
112,7570,1497981600
113,6846,1497988800
114,5931,1497996000
115,6608,1498003200
116,6565,1498010400
117,7172,1498017600
118,8308,1498021200
119,8675,1498028400
120,8258,1498035600
121,8299,1498042800
122,8397,1498046400
123,7558,1498050000
124,7414,1498057200
125,7176,1498060800
126,6632,1498068000
127,6155,1498075200
128,5446,1498078800
129,6720,1498086000
130,7232,1498096800
131,5691,1498100400
132,5821,1498107600
133,5912,1498111200
134,5800,1498114800
135,6251,1498125600
136,5881,1498132800
137,5986,1498140000
138,6509,1498147200
139,7185,1498150800
140,7150,1498158000
141,6057,1498161600
142,6633,1498168800
143,7084,1498176000
144,8034,1498183200
145,8898,1498194000
146,8295,1498201200
147,7807,1498212000
148,6024,1498222800
149,6655,1498230000
150,6464,1498233600
151,8623,1498273200
152,9231,1498276800
153,9232,1498284000
154,9531,1498287600
155,8794,1498294800
156,7840,1498298400
157,8066,1498309200
158,8720,1498316400
159,9291,1498323600
160,9355,1498327200
161,8813,1498330800
162,10388,1498338000
163,8493,1498345200
164,8390,1498352400
165,6836,1498359600
166,7420,1498363200
167,7695,1498370400
168,6909,1498384800
169,7095,1498392000
170,7239,1498399200
171,7855,1498402800
172,8423,1498406400
173,6575,1498413600
174,6466,1498417200
175,8021,1498424400
176,7756,1498428000
177,7504,1498435200
178,7355,1498442400
179,6490,1498446000
180,6636,1498449600
181,6541,1498456800
182,6285,1498467600
183,6426,1498471200
184,6599,1498478400
185,6104,1498489200
186,6716,1498496400
187,6122,1498500000
188,5158,1498510800
189,6683,1498521600
190,7894,1498532400
191,7149,1498536000
192,6603,1498543200
193,6768,1498557600
194,6316,1498564800
195,5360,1498572000
196,5405,1498579200
197,6397,1498586400
198,5452,1498593600
199,5357,1498600800
200,5122,1498604400
201,5005,1498608000
202,5489,1498611600
203,7212,1498622400
204,7732,1498629600
205,5791,1498633200
206,6251,1498644000
207,6387,1498651200
208,6525,1498654800
209,6439,1498662000
210,7010,1498669200
211,7816,1498672800
212,8536,1498680000
213,8203,1498683600
214,8911,1498687200
215,10452,1498694400
216,9705,1498701600
217,11135,1498705200
218,11862,1498712400
219,11744,1498716000
220,11991,1498719600
221,8740,1498726800
222,8808,1498734000
223,7941,1498737600
224,8091,1498741200
225,8902,1498748400
226,9633,1498755600
227,11708,1498759200
228,10963,1498762800
229,7075,1498770000
230,7824,1498773600
231,8333,1498780800
232,8050,1498784400
233,9339,1498791600
234,8978,1498798800
235,8280,1498802400
236,8664,1498806000
237,8310,1498816800
238,8524,1498824000
239,8688,1498827600
240,8430,1498831200
241,7987,1498838400
242,7775,1498852800
243,7611,1498856400
244,7194,1498863600
245,6692,1498874400
246,7234,1498881600
247,6797,1498888800
248,6837,1498903200
249,7118,1498910400
250,6472,1498914000
251,7073,1498921200
252,7651,1498924800
253,9147,1498928400
254,9905,1498935600
255,8769,1498939200
256,8339,1498946400
257,8079,1498957200
258,7403,1498971600
259,7296,1498986000
260,4708,1498996800
261,4451,1499004000
262,4921,1499007600
263,5389,1499011200
264,5905,1499022000
265,6372,1499029200
266,6997,1499032800
267,8311,1499040000
268,8937,1499043600
269,9110,1499047200
270,9784,1499058000
271,11501,1499065200
272,11964,1499072400
273,11829,1499076000
274,11814,1499083200
275,11729,1499090400
276,8761,1499094000
277,8154,1499101200
278,9719,1499108400
279,8933,1499115600
280,8658,1499119200
281,9168,1499126400
282,9862,1499130000
283,9908,1499137200
284,9280,1499144400
285,10620,1499151600
286,10185,1499158800
287,10244,1499162400
288,10400,1499169600
289,11141,1499180400
290,11834,1499184000
291,15178,1499194800
292,14228,1499202000
293,12550,1499209200
294,10534,1499212800
295,13058,1499220000
296,13860,1499227200
297,13247,1499238000
298,8706,1499248800
299,8985,1499256000
300,9218,1499259600
301,8642,1499270400
302,8086,1499274000
303,7663,1499277600
304,8804,1499284800
305,7681,1499288400
306,7793,1499292000
307,6288,1499299200
308,7057,1499302800
309,8596,1499310000
310,7042,1499313600
311,7661,1499320800
312,7823,1499331600
313,7985,1499335200
314,8207,1499342400
315,8377,1499346000
316,8539,1499349600
317,8161,1499356800
318,10250,1499364000
319,11800,1499374800
320,12909,1499378400
321,11547,1499385600
322,12512,1499392800
323,13434,1499400000
324,13172,1499407200
325,12334,1499421600
326,12491,1499428800
327,12616,1499436000
328,11398,1499439600
329,12296,1499446800
330,11670,1499457600
331,11604,1499464800
332,9301,1499472000
333,10058,1499479200
334,10190,1499482800
335,9684,1499486400
336,7865,1499493600
337,7530,1499497200
338,7281,1499504400
339,7440,1499508000
340,7695,1499515200
341,7871,1499522400
342,8572,1499526000
343,9236,1499533200
344,8262,1499536800
345,8026,1499540400
346,6587,1499551200
347,7044,1499558400
348,7694,1499562000
349,7175,1499569200
350,7827,1499572800
351,9010,1499580000
352,9380,1499583600
353,9894,1499590800
354,9981,1499594400
355,10117,1499601600
356,10154,1499608800
357,10862,1499612400
358,11460,1499616000
359,13509,1499623200
360,14524,1499626800
361,12485,1499637600
362,12409,1499644800
363,13420,1499648400
364,15800,1499655600
365,17015,1499659200
366,13819,1499666400
367,14415,1499670000
368,15058,1499677200
369,15011,1499684400
370,15081,1499688000
371,15103,1499691600
372,13297,1499698800
373,14347,1499702400
374,12339,1499709600
375,13768,1499713200
376,14254,1499720400
377,13439,1499727600
378,12276,1499731200
379,11574,1499734800
380,10720,1499742000
381,10008,1499745600
382,8883,1499752800
383,8861,1499756400
384,8869,1499763600
385,9119,1499770800
386,9468,1499774400
387,9808,1499778000
388,11321,1499785200
389,12652,1499788800
390,14257,1499796000
391,12634,1499817600
392,13609,1499821200
393,13495,1499828400
394,14995,1499832000
395,14950,1499839200
396,13970,1499850000
397,11586,1499860800
398,11863,1499864400
399,12155,1499868000
400,13337,1499875200
401,12685,1499878800
402,13242,1499886000
403,14171,1499889600
404,13089,1499896800
405,13953,1499904000
406,14027,1499907600
407,14788,1499911200
408,13258,1499918400
409,12748,1499922000
410,11269,1499929200
411,10537,1499936400
412,9943,1499940000
413,9176,1499947200
414,9536,1499950800
415,9926,1499954400
416,11137,1499961600
417,12733,1499965200
418,13013,1499976000
419,12291,1499979600
420,11212,1499983200
421,12128,1499990400
422,12292,1499994000
423,13077,1499997600
424,11375,1500004800
425,8825,1500008400
426,7505,1500015600
427,8306,1500022800
428,7871,1500037200
429,8252,1500044400
430,7434,1500048000
431,8294,1500055200
432,8169,1500058800
433,9047,1500066000
434,9576,1500069600
435,9592,1500080400
436,9180,1500084000
437,9318,1500091200
438,7976,1500098400
439,8639,1500109200
440,8064,1500123600
441,8321,1500130800
442,9375,1500134400
443,9014,1500141600
444,7669,1500152400
445,8048,1500156000
446,8768,1500159600
447,6354,1500166800
448,6532,1500174000
449,6552,1500184800
450,7257,1500199200
451,7394,1500206400
452,6851,1500213600
453,6816,1500220800
454,5935,1500224400
455,7359,1500231600
456,8201,1500238800
457,10013,1500242400
458,9472,1500246000
459,10546,1500256800
460,9677,1500264000
461,8344,1500267600
462,9503,1500274800
463,9801,1500282000
464,10101,1500285600
465,10153,1500292800
466,10645,1500300000
467,12224,1500307200
468,9630,1500314400
469,9281,1500318000
470,9228,1500321600
471,7300,1500328800
472,7420,1500332400
473,8034,1500343200
474,7238,1500350400
475,7323,1500357600
476,7819,1500368400
477,8163,1500372000
478,7398,1500375600
479,7713,1500382800
480,7132,1500390000
481,7498,1500393600
482,6736,1500397200
483,6887,1500404400
484,7734,1500408000
485,9561,1500415200
486,10424,1500418800
487,10672,1500426000
