,Spoint,date
0,956170,1501005600
1,970046,1501048800
2,967246,1501095600
3,987226,1501138800
4,985187,1501185600
5,993868,1501236000
6,1000823,1501275600
7,269139,1501322400
8,275312,1501326000
9,282487,1501333200
10,289338,1501340400
11,304501,1501344000
12,316426,1501351200
13,339045,1501354800
14,352377,1501362000
15,374388,1501365600
16,386456,1501369200
17,405158,1501376400
18,414813,1501383600
19,431472,1501387200
20,440300,1501390800
21,452313,1501398000
22,456630,1501405200
23,461539,1501408800
24,463798,1501416000
25,466438,1501419600
26,468598,1501426800
27,476730,1501430400
28,482879,1501434000
29,496780,1501441200
30,504320,1501444800
31,520668,1501452000
32,528655,1501455600
33,544190,1501462800
34,551877,1501470000
35,567762,1501473600
36,575344,1501477200
37,586731,1501484400
38,590159,1501491600
39,594354,1501495200
40,595666,1501502400
41,598586,1501506000
42,600995,1501513200
43,610447,1501516800
44,618565,1501524000
45,636387,1501527600
46,646543,1501534800
47,665157,1501538400
48,690135,1501545600
49,697691,1501556400
50,711801,1501560000
51,718454,1501567200
52,728249,1501570800
53,730443,1501578000
54,732902,1501581600
55,732887,1501588800
56,734478,1501599600
57,746366,1501610400
58,766272,1501621200
59,786002,1501632000
60,801987,1501642800
61,817076,1501653600
62,825853,1501668000
63,824783,1501675200
64,825698,1501686000
65,837119,1501696800
66,856392,1501707600
67,874839,1501722000
68,889361,1501729200
69,901287,1501740000
70,905756,1501754400
71,901947,1501765200
72,903629,1501776000
73,913553,1501786800
74,926570,1501797600
75,939007,1501808400
76,950404,1501819200
77,957960,1501830000
78,951980,1501844400
79,945235,1501855200
80,946742,1501866000
81,953092,1501876800
82,959956,1501887600
83,965791,1501898400
84,970523,1501909200
85,971759,1501927200
86,968461,1501934400
87,960541,1501945200
88,957997,1501956000
89,960323,1501966800
90,963754,1501977600
91,964895,1501988400
92,966875,1501999200
93,965331,1502013600
94,962251,1502020800
95,955132,1502031600
96,952625,1502042400
97,952965,1502053200
98,956226,1502064000
99,959265,1502074800
100,963492,1502085600
101,962099,1502100000
102,959328,1502107200
103,954834,1502118000
104,954480,1502128800
105,961919,1502139600
106,970170,1502150400
107,974757,1502161200
108,979776,1502172000
109,982875,1502182800
110,970370,1502204400
111,979139,1502226000
112,996144,1502247600
113,994169,1502272800
114,989912,1502294400
115,1005747,1502316000
116,1015852,1502337600
117,1011970,1502362800
118,1012931,1502384400
119,1028247,1502406000
120,1037646,1502427600
121,1028670,1502452800
122,1028562,1502474400
123,1039578,1502496000
124,1040299,1502517600
125,1024273,1502542800
126,1025950,1502564400
127,1029477,1502586000
128,1020727,1502614800
129,1005365,1502636400
130,1010801,1502658000
131,1013328,1502679600
132,1008785,1502704800
133,1000172,1502726400
134,1017342,1502748000
135,1027723,1502769600
136,1021556,1502794800
137,1014948,1502816400
138,1033561,1502838000
139,1043328,1502859600
140,1033657,1502884800
141,1032630,1502906400
142,1051981,1502928000
143,1062451,1502949600
144,1052067,1502974800
145,1062342,1502996400
146,1079792,1503018000
147,1085296,1503039600
148,1068189,1503064800
149,1079303,1503086400
150,1090585,1503108000
151,1080716,1503136800
152,1067553,1503154800
153,1073211,1503176400
154,1076792,1503198000
155,1065099,1503223200
156,1049963,1503241200
157,1052865,1503262800
158,1060663,1503284400
159,1054214,1503313200
160,1041330,1503331200
161,1056392,1503352800
162,1068571,1503374400
163,1061520,1503399600
164,1051008,1503417600
165,288946,1503439200
166,445152,1503471600
167,452813,1503478800
168,464185,1503482400
169,468186,1503486000
170,474599,1503493200
171,480357,1503500400
172,497030,1503504000
173,509528,1503507600
174,535727,1503514800
175,549250,1503522000
176,575579,1503525600
177,588294,1503529200
178,609800,1503536400
179,619737,1503543600
180,639916,1503547200
181,649036,1503550800
182,662026,1503558000
183,665715,1503565200
184,668944,1503568800
185,669409,1503572400
186,671590,1503579600
187,673105,1503586800
188,682976,1503590400
189,689719,1503594000
190,707114,1503601200
191,715622,1503608400
192,733978,1503612000
193,741820,1503619200
194,756855,1503622800
195,781723,1503640800
196,789781,1503644400
197,794339,1503655200
198,793357,1503658800
199,794248,1503666000
200,795219,1503669600
201,802656,1503676800
202,806681,1503680400
203,821495,1503687600
204,828176,1503694800
205,843526,1503698400
206,850147,1503702000
207,862873,1503712800
208,882628,1503723600
209,891231,1503738000
210,892467,1503748800
211,891912,1503759600
212,897268,1503770400
213,908370,1503781200
214,919524,1503792000
215,927607,1503802800
216,936526,1503813600
217,932775,1503828000
218,926803,1503838800
219,925345,1503849600
220,933332,1503860400
221,946197,1503871200
222,960047,1503882000
223,972606,1503892800
224,978310,1503903600
225,973624,1503918000
226,961826,1503928800
227,963401,1503939600
228,974539,1503950400
229,984290,1503961200
230,1000341,1503972000
231,1014631,1503982800
232,1018503,1504000800
233,1015014,1504008000
234,1007920,1504018800
235,1008622,1504029600
236,259655,1504040400
237,285936,1504051200
238,324979,1504054800
239,346028,1504062000
240,382104,1504065600
241,399923,1504072800
242,423304,1504076400
243,432019,1504083600
244,441028,1504087200
245,445303,1504090800
246,451781,1504098000
247,457686,1504105200
248,474193,1504108800
249,486607,1504116000
250,512053,1504119600
251,525576,1504126800
252,551070,1504130400
253,563493,1504134000
254,584455,1504141200
255,593803,1504148400
256,613447,1504152000
257,622314,1504155600
258,635296,1504162800
259,641885,1504173600
260,642369,1504177200
261,644774,1504184400
262,646394,1504188000
263,656244,1504195200
264,662940,1504198800
265,680526,1504206000
266,688273,1504213200
267,706294,1504216800
268,714456,1504220400
269,728119,1504227600
270,733922,1504231200
271,747247,1504238400
272,752818,1504245600
273,761938,1504249200
274,764149,1504256400
275,766416,1504260000
276,768563,1504267200
277,770074,1504278000
278,778904,1504281600
279,785566,1504288800
280,800854,1504292400
281,807922,1504299600
282,830957,1504310400
283,848702,1504321200
284,862430,1504332000
285,870213,1504346400
286,867730,1504357200
287,869697,1504368000
288,878626,1504378800
289,889817,1504389600
290,899296,1504400400
291,906624,1504411200
292,910708,1504422000
293,908916,1504436400
294,903698,1504447200
295,908285,1504458000
296,919329,1504468800
297,930884,1504479600
298,939617,1504490400
299,945379,1504501200
300,942602,1504519200
301,938140,1504526400
302,930612,1504537200
303,930026,1504548000
304,939116,1504558800
305,950316,1504569600
306,971348,1504580400
307,973726,1504591200
308,973971,1504605600
309,969122,1504612800
310,961021,1504627200
311,960249,1504634400
312,976982,1504645200
313,978910,1504656000
314,997599,1504670400
315,1000246,1504677600
316,1003434,1504692000
317,997175,1504702800
318,995051,1504713600
319,1001576,1504724400
320,1010892,1504735200
321,1018528,1504746000
322,1026543,1504756800
323,1032869,1504767600
324,1031772,1504782000
325,1027439,1504789200
326,1026592,1504800000
327,1033172,1504810800
328,1040545,1504821600
329,1046204,1504832400
330,1053990,1504843200
331,1057296,1504854000
332,1052188,1504868400
333,1047470,1504879200
334,1048083,1504890000
335,1053092,1504900800
336,147652,1504911600
337,170296,1504915200
338,204208,1504918800
339,221569,1504926000
340,249062,1504929600
341,264049,1504933200
342,284027,1504940400
343,303773,1504947600
344,309871,1504958400
345,317623,1504962000
346,325140,1504969200
347,339442,1504972800
348,351061,1504976400
349,385922,1504990800
350,407161,1504994400
351,419206,1505001600
352,437794,1505005200
353,447383,1505012400
354,464264,1505016000
355,484455,1505023200
356,494150,1505037600
357,496134,1505041200
358,498934,1505048400
359,501173,1505052000
360,508606,1505059200
361,514496,1505062800
362,527992,1505070000
363,535267,1505073600
364,551440,1505077200
365,560116,1505084400
366,575664,1505091600
367,584134,1505095200
368,600986,1505102400
369,609230,1505106000
370,620635,1505113200
371,628265,1505124000
372,629506,1505127600
373,632173,1505134800
374,634425,1505142000
375,643077,1505145600
376,650185,1505149200
377,667338,1505156400
378,694567,1505163600
379,703324,1505170800
380,725726,1505185200
381,746710,1505196000
382,760264,1505210400
383,760718,1505221200
384,767938,1505232000
385,785306,1505242800
386,805650,1505253600
387,822111,1505264400
388,837684,1505275200
389,849532,1505286000
390,851140,1505300400
391,851906,1505307600
392,858622,1505318400
393,875769,1505329200
394,894101,1505340000
395,909063,1505350800
396,920794,1505361600
397,928752,1505372400
398,924702,1505390400
399,920930,1505397600
400,925432,1505408400
401,934138,1505419200
402,950057,1505430000
403,961652,1505440800
404,971958,1505451600
405,973909,1505466000
406,965300,1505480400
407,961630,1505487600
408,962984,1505498400
409,968836,1505509200
410,982266,1505523600
411,982270,1505530800
412,987583,1505541600
413,986764,1505556000
414,979056,1505566800
415,974279,1505577600
416,975245,1505588400
417,977950,1505599200
418,979196,1505610000
419,981044,1505620800
420,982078,1505631600
421,975741,1505646000
422,968503,1505656800
423,964334,1505667600
424,965440,1505678400
425,968834,1505689200
426,971680,1505700000
427,976942,1505710800
428,976131,1505728800
429,970338,1505739600
430,968063,1505750400
431,972385,1505761200
432,978984,1505772000
433,988172,1505793600
434,986470,1505818800
435,980048,1505836800
